rn,SQLDATE,MonthYear,EventCode,SOURCEURL,IsRootEvent,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,NumMentions,NumSources,NumArticles
16164,20181001,201810,043,https://www.radionz.co.nz/news/pacific/367677/play-based-on-1918-influenza-tragedy-in-samoa-to-premiere-in-london,1,APIA,WSM,NEW ZEALAND,NZL,8,1,8
16165,20181001,201810,043,https://www.radionz.co.nz/news/pacific/367677/play-based-on-1918-influenza-tragedy-in-samoa-to-premiere-in-london,1,SAMOA,WSM,NEW ZEALAND,NZL,2,1,2
16166,20181001,201810,043,https://www.reporteindigo.com/piensa/en-plena-revolucion-mexicana-una-pandemia-de-influenza-mato-a-mas-de-7-mil-personas/,1,MEXICO,MEX,,,2,1,2
16167,20181013,201810,043,https://www.stuff.co.nz/national/health/107298823/New-Zealands-worst-disease-disaster-100-years-since-the-1918-influenza-pandemic,0,,,PRIME MINISTER,,4,1,4
16168,20181013,201810,043,https://www.stuff.co.nz/national/health/107298823/New-Zealands-worst-disease-disaster-100-years-since-the-1918-influenza-pandemic,0,,,PRIME MINISTER,,1,1,1
16169,20181013,201810,043,https://www.stuff.co.nz/national/health/107298823/New-Zealands-worst-disease-disaster-100-years-since-the-1918-influenza-pandemic,0,,,NEW ZEALAND,NZL,2,1,2
16170,20181005,201810,046,https://www.readingeagle.com/life/article/flashback-friday-100-years-ago-spanish-influenza-gripped-reading,1,CHRISTIAN,,,,10,1,10
16171,20181005,201810,046,https://www.readingeagle.com/life/article/flashback-friday-100-years-ago-spanish-influenza-gripped-reading,1,,,CHRISTIAN,,10,1,10
16172,20181003,201810,046,https://www.sedaliademocrat.com/opinion/spanish-influenza-strikes-sedalia/article_bf39237a-c6d6-11e8-af6f-936cce3cd5c3.html,0,,,HOSPITAL,,10,1,10
16173,20181028,201810,046,https://www.zazoom.it/2018-10-28/che-cose-linfluenza-e-perche-va-presa-sul-serio/4824812/,1,,,MAYOR,,10,1,10
16174,20181009,201810,050,http://www.notimex.gob.mx/ntxnotaLibre/607328/titular-de-salud-invita-a-la-poblaci%C3%B3n-a-vacunarse-contra-influenza,0,AUTHORITIES,,INDUSTRY,,10,1,10
16175,20181009,201810,050,http://www.notimex.gob.mx/ntxnotaLibre/607328/titular-de-salud-invita-a-la-poblaci%C3%B3n-a-vacunarse-contra-influenza,0,INDUSTRY,,AUTHORITIES,,10,1,10
16176,20181005,201810,050,https://dailytimes.com.pk/306707/shortage-of-cough-and-influenza-medicines-making-peoples-lives-miserable/,1,COMPANIES,,,,5,1,5
16177,20181027,201810,050,https://www.ledevoir.com/societe/sante/540030/la-ministre-de-la-sante-prend-en-grippe-l-avis-des-experts-sur-l-influenza,1,CANADA,CAN,,,2,1,2
16178,20181002,201810,051,http://comminit.com/global/content/maternal-influenza-immunization-perceptions-decision-makers-health-care-providers-and-co,0,GOVERNMENT,,MALE,MDV,10,1,10
16179,20181002,201810,051,http://comminit.com/global/content/maternal-influenza-immunization-perceptions-decision-makers-health-care-providers-and-co,0,VILLAGE,,,,10,1,10
16180,20181021,201810,051,http://contraparte.mx/index.php/municipios/23817-garantiza-ssa-aplicaci%C3%B3n-de-la-vacuna-de-la-influenza.html,1,,,POPULATION,,10,1,10
16181,20181006,201810,051,http://www.knom.org/wp/blog/2018/10/05/on-nomes-west-beach-a-new-memorial-to-victims-of-a-century-old-influenza/,1,METHODIST,,,,6,1,6
16182,20181006,201810,051,http://www.knom.org/wp/blog/2018/10/05/on-nomes-west-beach-a-new-memorial-to-victims-of-a-century-old-influenza/,1,RESIDENTS,,,,2,1,2
16183,20181006,201810,051,http://www.knom.org/wp/blog/2018/10/05/on-nomes-west-beach-a-new-memorial-to-victims-of-a-century-old-influenza/,1,METHODIST,,UNITED STATES,USA,4,1,4
16184,20181006,201810,051,http://www.knom.org/wp/blog/2018/10/05/on-nomes-west-beach-a-new-memorial-to-victims-of-a-century-old-influenza/,1,RESIDENTS,,UNITED STATES,USA,8,1,8
16185,20181022,201810,051,http://www.sj-r.com/news/20181021/sangamon-county-history-remembering-springfield-influenza-epidemic-of-1918,1,STUDENT,,,,5,1,5
16186,20181022,201810,051,http://www.sj-r.com/news/20181021/sangamon-county-history-remembering-springfield-influenza-epidemic-of-1918,1,STUDENT,,,,5,1,5
16187,20181024,201810,051,https://www.birminghamstar.com/news/258169144/flu-hospitalized-900000-in-us-in-2017-18-influenza-season,1,FLORIDA,USA,,,36,7,36
16188,20181010,201810,051,https://www.collective-evolution.com/2018/10/10/the-cdcs-influenza-math-doesnt-add-up-exaggerating-the-death-toll-to-sell-flu-shots/,1,HEALTH OFFICIAL,,MEDIA,,10,1,10
16189,20181015,201810,051,https://www.greenbaypressgazette.com/story/news/2018/10/15/flu-season-brown-county-health-officials-say-get-shots-now-influenza/1618563002/,1,UNITED STATES,USA,,,12,1,8
16190,20181015,201810,051,https://www.greenbaypressgazette.com/story/news/2018/10/15/flu-season-brown-county-health-officials-say-get-shots-now-influenza/1618563002/,0,UNITED STATES,USA,,,2,1,2
16191,20181011,201810,051,https://www.lewrockwell.com/2018/10/no_author/the-cdcs-influenza-math-doesnt-add-up-exaggerating-the-death-toll-to-sell-flu-shots/,1,HEALTH OFFICIAL,,MEDIA,,10,1,10
16192,20181004,201810,051,https://www.marketwatch.com/press-release/flugen-presents-first-in-human-phase-1a-safety-and-immunogenicity-data-with-novel-m2sr-influenza-vaccine-at-id-week-2018-10-04,1,,,SECRETARY OF DEFENSE,,20,2,20
16193,20181001,201810,051,https://www.myhighplains.com/life-health/for-your-health/texas-influenza-awareness-day/1489961545,0,HEALTH OFFICIAL,,,,10,1,10
